bug_id,title,description,priority,severity,component,status,developer
BUG-001,Password reset fails,Users cannot complete the password reset process,High,Major,Authentication,Open,Rahul
BUG-002,Payment timeout,Payment request remains pending and eventually times out,Medium,Major,Payment,Open,Arjun
BUG-003,Text overlaps,Page text overlaps with other interface elements,High,Critical,Frontend,Open,Sneha
BUG-004,Slow dashboard,Dashboard takes too long to load its widgets,Medium,Major,Dashboard,Closed,Priya
BUG-005,Search filter broken,Search filters do not correctly narrow results,Medium,Major,Search,Open,Vikram
BUG-006,Notification delayed,Notifications arrive several minutes late,Medium,Major,Notifications,Open,Priya
BUG-007,Missing API field,Expected field is missing from the API response,Low,Major,API,Open,Arjun
BUG-008,Incorrect database value,Stored value does not match the submitted data,High,Minor,Database,Open,Vikram
BUG-009,Page loads slowly,Application page takes too long to load,Medium,Major,Performance,Closed,Priya
BUG-010,Large file upload timeout,Large files fail to upload before completion,Medium,Minor,File Upload,Open,Sneha
BUG-011,Session expires unexpectedly,Users are logged out while actively using the application,Medium,Critical,Authentication,Open,Rahul
BUG-012,Duplicate payment,The same transaction is charged more than once,Low,Minor,Payment,Open,Arjun
BUG-013,Text overlaps,Page text overlaps with other interface elements,High,Major,Frontend,Open,Sneha
BUG-014,Dashboard data incorrect,Dashboard displays outdated information,Medium,Major,Dashboard,Open,Priya
BUG-015,Search returns wrong results,Search displays unrelated results,Medium,Critical,Search,Open,Vikram
BUG-016,Notification delayed,Notifications arrive several minutes late,Medium,Major,Notifications,Open,Priya
BUG-017,API endpoint unavailable,Expected API endpoint cannot be reached,Low,Major,API,Open,Arjun
BUG-018,Database connection failure,Application cannot connect to the database,Low,Major,Database,Open,Vikram
BUG-019,Slow response time,Application responses take several seconds,Low,Major,Performance,Open,Priya
BUG-020,Uploaded file missing,Successfully uploaded file cannot be found,Medium,Major,File Upload,Closed,Sneha
BUG-021,Invalid login error,Valid credentials result in an unexpected authentication error,High,Major,Authentication,Open,Rahul
BUG-022,Card validation error,Valid card details are incorrectly rejected,Low,Major,Payment,Open,Arjun
BUG-023,Broken navigation menu,Navigation menu does not open correctly,Medium,Critical,Frontend,Open,Sneha
BUG-024,Dashboard widgets missing,Some dashboard widgets are not displayed,High,Critical,Dashboard,Closed,Priya
BUG-025,Search returns wrong results,Search displays unrelated results,Medium,Major,Search,Closed,Vikram
BUG-026,Email notification failure,Notification emails are not sent successfully,Low,Minor,Notifications,Open,Priya
BUG-027,API timeout,API request takes too long and times out,Medium,Major,API,Open,Arjun
BUG-028,Database timeout,Database operation exceeds the expected response time,High,Major,Database,Closed,Vikram
BUG-029,Page loads slowly,Application page takes too long to load,Low,Minor,Performance,Open,Priya
BUG-030,Invalid file accepted,Application accepts files with unsupported formats,Medium,Critical,File Upload,Open,Sneha
BUG-031,Session expires unexpectedly,Users are logged out while actively using the application,High,Major,Authentication,Open,Rahul
BUG-032,Refund failure,Refund request fails and the amount is not returned,Medium,Critical,Payment,Open,Arjun
BUG-033,Missing UI element,Expected interface element is not displayed,High,Major,Frontend,Open,Sneha
BUG-034,Dashboard widgets missing,Some dashboard widgets are not displayed,Medium,Minor,Dashboard,Open,Priya
BUG-035,Search returns no results,Existing records cannot be found through search,Medium,Minor,Search,Open,Vikram
BUG-036,Email notification failure,Notification emails are not sent successfully,Medium,Major,Notifications,Open,Priya
BUG-037,Missing API field,Expected field is missing from the API response,Medium,Major,API,Open,Arjun
