bug_id,title,description,priority,severity,component,status,developer,bug_text,cluster
BUG-001,Password reset fails,Users cannot complete the password reset process,High,Major,Authentication,Open,Rahul,password reset fails users cannot complete the password reset process,4
BUG-002,Payment timeout,Payment request remains pending and eventually times out,Medium,Major,Payment,Open,Arjun,payment timeout payment request remains pending and eventually times out,7
BUG-003,Text overlaps,Page text overlaps with other interface elements,High,Critical,Frontend,Open,Sneha,text overlaps page text overlaps with other interface elements,4
BUG-004,Slow dashboard,Dashboard takes too long to load its widgets,Medium,Major,Dashboard,Closed,Priya,slow dashboard dashboard takes too long to load its widgets,3
BUG-005,Search filter broken,Search filters do not correctly narrow results,Medium,Major,Search,Open,Vikram,search filter broken search filters do not correctly narrow results,1
BUG-006,Notification delayed,Notifications arrive several minutes late,Medium,Major,Notifications,Open,Priya,notification delayed notifications arrive several minutes late,5
BUG-007,Missing API field,Expected field is missing from the API response,Low,Major,API,Open,Arjun,missing api field expected field is missing from the api response,0
BUG-008,Incorrect database value,Stored value does not match the submitted data,High,Minor,Database,Open,Vikram,incorrect database value stored value does not match the submitted data,9
BUG-009,Page loads slowly,Application page takes too long to load,Medium,Major,Performance,Closed,Priya,page loads slowly application page takes too long to load,4
BUG-010,Large file upload timeout,Large files fail to upload before completion,Medium,Minor,File Upload,Open,Sneha,large file upload timeout large files fail to upload before completion,6
BUG-011,Session expires unexpectedly,Users are logged out while actively using the application,Medium,Critical,Authentication,Open,Rahul,session expires unexpectedly users are logged out while actively using the application,4
BUG-012,Duplicate payment,The same transaction is charged more than once,Low,Minor,Payment,Open,Arjun,duplicate payment the same transaction is charged more than once,7
BUG-013,Text overlaps,Page text overlaps with other interface elements,High,Major,Frontend,Open,Sneha,text overlaps page text overlaps with other interface elements,4
BUG-014,Dashboard data incorrect,Dashboard displays outdated information,Medium,Major,Dashboard,Open,Priya,dashboard data incorrect dashboard displays outdated information,3
BUG-015,Search returns wrong results,Search displays unrelated results,Medium,Critical,Search,Open,Vikram,search returns wrong results search displays unrelated results,1
BUG-016,Notification delayed,Notifications arrive several minutes late,Medium,Major,Notifications,Open,Priya,notification delayed notifications arrive several minutes late,5
BUG-017,API endpoint unavailable,Expected API endpoint cannot be reached,Low,Major,API,Open,Arjun,api endpoint unavailable expected api endpoint cannot be reached,4
BUG-018,Database connection failure,Application cannot connect to the database,Low,Major,Database,Open,Vikram,database connection failure application cannot connect to the database,0
BUG-019,Slow response time,Application responses take several seconds,Low,Major,Performance,Open,Priya,slow response time application responses take several seconds,0
BUG-020,Uploaded file missing,Successfully uploaded file cannot be found,Medium,Major,File Upload,Closed,Sneha,uploaded file missing successfully uploaded file cannot be found,2
BUG-021,Invalid login error,Valid credentials result in an unexpected authentication error,High,Major,Authentication,Open,Rahul,invalid login error valid credentials result in an unexpected authentication error,4
BUG-022,Card validation error,Valid card details are incorrectly rejected,Low,Major,Payment,Open,Arjun,card validation error valid card details are incorrectly rejected,4
BUG-023,Broken navigation menu,Navigation menu does not open correctly,Medium,Critical,Frontend,Open,Sneha,broken navigation menu navigation menu does not open correctly,9
BUG-024,Dashboard widgets missing,Some dashboard widgets are not displayed,High,Critical,Dashboard,Closed,Priya,dashboard widgets missing some dashboard widgets are not displayed,3
BUG-025,Search returns wrong results,Search displays unrelated results,Medium,Major,Search,Closed,Vikram,search returns wrong results search displays unrelated results,1
BUG-026,Email notification failure,Notification emails are not sent successfully,Low,Minor,Notifications,Open,Priya,email notification failure notification emails are not sent successfully,2
BUG-027,API timeout,API request takes too long and times out,Medium,Major,API,Open,Arjun,api timeout api request takes too long and times out,4
BUG-028,Database timeout,Database operation exceeds the expected response time,High,Major,Database,Closed,Vikram,database timeout database operation exceeds the expected response time,0
BUG-029,Page loads slowly,Application page takes too long to load,Low,Minor,Performance,Open,Priya,page loads slowly application page takes too long to load,4
BUG-030,Invalid file accepted,Application accepts files with unsupported formats,Medium,Critical,File Upload,Open,Sneha,invalid file accepted application accepts files with unsupported formats,6
BUG-031,Session expires unexpectedly,Users are logged out while actively using the application,High,Major,Authentication,Open,Rahul,session expires unexpectedly users are logged out while actively using the application,4
BUG-032,Refund failure,Refund request fails and the amount is not returned,Medium,Critical,Payment,Open,Arjun,refund failure refund request fails and the amount is not returned,4
BUG-033,Missing UI element,Expected interface element is not displayed,High,Major,Frontend,Open,Sneha,missing ui element expected interface element is not displayed,0
BUG-034,Dashboard widgets missing,Some dashboard widgets are not displayed,Medium,Minor,Dashboard,Open,Priya,dashboard widgets missing some dashboard widgets are not displayed,3
